"","season","posteam","week","penalty_type","plays"
"421",2024,"DEN",3,"Delay of Game",1
"422",2024,"DEN",3,"Illegal Block Above the Waist",1
"423",2024,"DEN",3,"Offensive Holding",1
"424",2024,"DEN",3,NA,75
"425",2024,"DEN",4,"Defensive Offside",2
"426",2024,"DEN",4,"Defensive Pass Interference",1
"427",2024,"DEN",4,"False Start",1
"428",2024,"DEN",4,"Offensive Holding",2
"429",2024,"DEN",4,"Offensive Pass Interference",1
"430",2024,"DEN",4,NA,70
"431",2024,"DEN",5,"Defensive Holding",1
"432",2024,"DEN",5,"Defensive Too Many Men on Field",2
"433",2024,"DEN",5,"Delay of Game",2
"434",2024,"DEN",5,"Encroachment",1
"435",2024,"DEN",5,"Illegal Shift",1
"436",2024,"DEN",5,"Leverage",1
"437",2024,"DEN",5,"Offensive Holding",1
"438",2024,"DEN",5,"Offensive Pass Interference",1
"439",2024,"DEN",5,"Unnecessary Roughness",1
"440",2024,"DEN",5,NA,75
"441",2024,"DEN",6,"Defensive Delay of Game",1
"442",2024,"DEN",6,"Delay of Game",1
"443",2024,"DEN",6,"False Start",1
"444",2024,"DEN",6,"Illegal Formation",1
"445",2024,"DEN",6,"Offensive Holding",1
"446",2024,"DEN",6,NA,66
"447",2024,"DEN",7,"Defensive Holding",1
"448",2024,"DEN",7,"Delay of Game",1
"449",2024,"DEN",7,"Ineligible Downfield Pass",1
"450",2024,"DEN",7,"Offensive Holding",2
"451",2024,"DEN",7,NA,77
"452",2024,"DEN",8,"Defensive Holding",1
"453",2024,"DEN",8,"False Start",1
"454",2024,"DEN",8,NA,85
"455",2024,"DET",1,"False Start",2
"456",2024,"DET",1,"Illegal Use of Hands",1
"457",2024,"DET",1,"Offensive Holding",1
"458",2024,"DET",1,"Unnecessary Roughness",1
"459",2024,"DET",1,NA,74
"460",2024,"DET",2,"Neutral Zone Infraction",1
"461",2024,"DET",2,"Offensive Holding",1
"462",2024,"DET",2,"Offensive Too Many Men on Field",1
"463",2024,"DET",2,"Roughing the Passer",2
"464",2024,"DET",2,NA,95
"465",2024,"DET",3,"False Start",4
"466",2024,"DET",3,"Unnecessary Roughness",1
"467",2024,"DET",3,NA,81
"468",2024,"DET",4,"Defensive Too Many Men on Field",1
"469",2024,"DET",4,"Face Mask",1
"470",2024,"DET",4,"Offensive Holding",2
"471",2024,"DET",4,"Offensive Pass Interference",1
"472",2024,"DET",4,"Unsportsmanlike Conduct",1
"473",2024,"DET",4,NA,63
"474",2024,"DET",6,"Delay of Game",1
"475",2024,"DET",6,"Encroachment",1
"476",2024,"DET",6,"Face Mask",1
"477",2024,"DET",6,"Ineligible Downfield Pass",1
"478",2024,"DET",6,"Offensive Pass Interference",1
"479",2024,"DET",6,"Unsportsmanlike Conduct",1
"480",2024,"DET",6,NA,80
"481",2024,"DET",7,"False Start",3
"482",2024,"DET",7,"Offensive Holding",2
"483",2024,"DET",7,"Roughing the Passer",1
"484",2024,"DET",7,NA,72
"485",2024,"DET",8,"Defensive Pass Interference",1
"486",2024,"DET",8,"Face Mask",1
"487",2024,"DET",8,NA,62
"488",2024,"GB",1,"Defensive Offside",1
"489",2024,"GB",1,"Defensive Pass Interference",1
"490",2024,"GB",1,"False Start",2
"491",2024,"GB",1,"Illegal Formation",1
"492",2024,"GB",1,"Illegal Shift",1
"493",2024,"GB",1,"Offensive Holding",3
"494",2024,"GB",1,"Offensive Pass Interference",1
"495",2024,"GB",1,"Roughing the Passer",1
"496",2024,"GB",1,"Unnecessary Roughness",1
"497",2024,"GB",1,NA,74
"498",2024,"GB",2,"Delay of Game",1
"499",2024,"GB",2,"Ineligible Downfield Pass",2
"500",2024,"GB",2,"Offensive Holding",2
"501",2024,"GB",2,NA,79
"502",2024,"GB",3,"Defensive Holding",1
"503",2024,"GB",3,"Delay of Game",1
"504",2024,"GB",3,"Illegal Formation",1
"505",2024,"GB",3,"Illegal Shift",1
"506",2024,"GB",3,"Illegal Use of Hands",1
"507",2024,"GB",3,"Offensive Holding",3
"508",2024,"GB",3,NA,73
"509",2024,"GB",4,"Defensive Pass Interference",1
"510",2024,"GB",4,"False Start",2
"511",2024,"GB",4,"Illegal Use of Hands",1
"512",2024,"GB",4,"Offensive Holding",1
"513",2024,"GB",4,"Unsportsmanlike Conduct",1
